delivered_impression,datetime
176,2022-04-09T02:10:27Z
177,2022-04-09T02:11:01Z
178,2022-04-09T02:11:36Z
179,2022-04-09T02:12:10Z
179,2022-04-09T02:12:44Z
180,2022-04-09T02:13:17Z
181,2022-04-09T02:13:51Z
182,2022-04-09T02:14:25Z
183,2022-04-09T02:14:58Z
184,2022-04-09T02:15:32Z
184,2022-04-09T02:16:06Z
185,2022-04-09T02:16:39Z
186,2022-04-09T02:17:13Z
187,2022-04-09T02:17:46Z
188,2022-04-09T02:18:20Z
189,2022-04-09T02:18:54Z
189,2022-04-09T02:19:27Z
190,2022-04-09T02:20:01Z
191,2022-04-09T02:20:35Z
192,2022-04-09T02:21:08Z
193,2022-04-09T02:21:42Z
194,2022-04-09T02:22:16Z
194,2022-04-09T02:22:49Z
195,2022-04-09T02:23:23Z
196,2022-04-09T02:23:57Z
197,2022-04-09T02:24:30Z
198,2022-04-09T02:25:04Z
199,2022-04-09T02:25:37Z
200,2022-04-09T02:26:11Z
200,2022-04-09T02:26:45Z
201,2022-04-09T02:27:18Z
202,2022-04-09T02:27:52Z
203,2022-04-09T02:28:26Z
203,2022-04-09T02:28:59Z
204,2022-04-09T02:29:33Z
205,2022-04-09T02:30:07Z
206,2022-04-09T02:30:40Z
207,2022-04-09T02:31:14Z
208,2022-04-09T02:31:48Z
209,2022-04-09T02:32:21Z
210,2022-04-09T02:32:55Z
210,2022-04-09T02:33:29Z
211,2022-04-09T02:34:02Z
212,2022-04-09T02:34:36Z
213,2022-04-09T02:35:09Z
214,2022-04-09T02:35:43Z
214,2022-04-09T02:36:17Z
215,2022-04-09T02:36:50Z
216,2022-04-09T02:37:24Z
217,2022-04-09T02:37:58Z
218,2022-04-09T02:38:31Z
219,2022-04-09T02:39:05Z
219,2022-04-09T02:39:39Z
220,2022-04-09T02:40:12Z
221,2022-04-09T02:40:46Z
222,2022-04-09T02:41:20Z
223,2022-04-09T02:41:53Z
224,2022-04-09T02:42:27Z
225,2022-04-09T02:43:00Z
225,2022-04-09T02:43:34Z
226,2022-04-09T02:44:08Z
227,2022-04-09T02:44:41Z
228,2022-04-09T02:45:15Z
229,2022-04-09T02:45:49Z
229,2022-04-09T02:46:22Z
230,2022-04-09T02:46:56Z
231,2022-04-09T02:47:30Z
232,2022-04-09T02:48:03Z
233,2022-04-09T02:48:37Z
234,2022-04-09T02:49:11Z
234,2022-04-09T02:49:44Z
235,2022-04-09T02:50:18Z
236,2022-04-09T02:50:51Z
237,2022-04-09T02:51:25Z
238,2022-04-09T02:51:59Z
239,2022-04-09T02:52:32Z
240,2022-04-09T02:53:06Z
240,2022-04-09T02:53:40Z
241,2022-04-09T02:54:13Z
242,2022-04-09T02:54:47Z
243,2022-04-09T02:55:21Z
244,2022-04-09T02:55:54Z
244,2022-04-09T02:56:28Z
245,2022-04-09T02:57:02Z
246,2022-04-09T02:57:35Z
247,2022-04-09T02:58:09Z
