market,ad_network,os,slot,format,page,revenue,placement_name
US,gam,android,inside,display,article,60.884482,am-android-article-inside-display-webview-exp-medium
US,gam,android,inside,native,article,61591.057676,am-android-article-inside-high
US,gam,android,inside,native,article,16083.694545,am-android-article-inside-low
US,gam,android,inside,native,article,11383.802417,am-android-article-inside-medium
US,gam,android,inside,native,article,922.3025,am-android-article-inside-native-ds-low
US,gam,android,inside,native,article,63.910979,am-android-article-inside-native-ibdd-ctrl-high
US,gam,android,inside,native,article,71.777648,am-android-article-inside-native-ibdd-ctrl-low
US,gam,android,inside,native,article,62.697651,am-android-article-inside-native-ibdd-ctrl-medium
US,gam,android,inside,native,article,0.398314,am-android-article-inside-native-ibdd-ctrl3-high
US,gam,android,inside,native,article,0.024438,am-android-article-inside-native-ibdd-ctrl3-low
US,gam,android,inside,native,article,0.289088,am-android-article-inside-native-ibdd-ctrl3-medium
US,gam,android,inside,native,article,0.010008,am-android-article-inside-native-ibdd-ctrl4-medium
US,gam,android,inside,native,article,177.821296,am-android-article-inside-native-ibdd-exp-full-high
US,gam,android,inside,native,article,147.280097,am-android-article-inside-native-ibdd-exp-full-low
US,gam,android,inside,native,article,69.956532,am-android-article-inside-native-ibdd-exp-full-medium
US,gam,android,inside,native,article,0.329123,am-android-article-inside-native-ibdd-exp-new-pf-high
US,gam,android,inside,native,article,0.019291,am-android-article-inside-native-ibdd-exp-new-pf-low
US,gam,android,inside,native,article,0.165759,am-android-article-inside-native-ibdd-exp-new-pf-medium
US,gam,android,inside,native,article,0.855019,am-android-article-inside-native-ibdd-exp-old-pf-high
US,gam,android,inside,native,article,0.027728,am-android-article-inside-native-ibdd-exp-old-pf-low
US,gam,android,inside,native,article,0.323888,am-android-article-inside-native-ibdd-exp-old-pf-medium
US,gam,android,inside,native,article,21.074757,am-android-article-inside-native-ibdd-exp-simple-high
US,gam,android,inside,native,article,5.663192,am-android-article-inside-native-ibdd-exp-simple-low
US,gam,android,inside,native,article,10.625814,am-android-article-inside-native-ibdd-exp-simple-medium
US,gam,android,inside,native,article,0.391633,am-android-article-inside-native-midwayibro-ctrl-high
US,gam,android,inside,native,article,0.063943,am-android-article-inside-native-midwayibro-ctrl-low
US,gam,android,inside,native,article,0.082472,am-android-article-inside-native-midwayibro-ctrl-medium
US,gam,android,inside,native,article,0.059624,am-android-article-inside-native-midwayibro-exp-high
US,gam,android,inside,native,article,0.476939,am-android-article-inside-native-midwayibro-waterfall-high
US,gam,android,inside,native,article,0.05351,am-android-article-inside-native-midwayibro-waterfall-low
US,gam,android,inside,native,article,0.131771,am-android-article-inside-native-midwayibro-waterfall-medium
US,gam,android,inside,native,article,0.114152,am-android-article-inside-native-midwaywinner-ctrl-high
