ad_unit_name,market,ad_network,os,slot,format,page
fb-ios-article-related-native-style-control2,US,fb,ios,related,native,article
fb-ios-article-related-native-style-right2,US,fb,ios,related,native,article
fb-android-foryou-large-native-nods,US,fb,android,large,native,foryou
am-android-foryou-large-native-high-nods,US,gam,android,large,native,foryou
am-android-foryou-large-native-medium-nods,US,gam,android,large,native,foryou
am-android-foryou-large-native-low-nods,US,gam,android,large,native,foryou
fb-android-foryou-large-native-withds,US,fb,android,large,native,foryou
am-android-foryou-large-native-ds-single,US,gam,android,large,native,foryou
am-android-foryou-large-native-high-withds,US,gam,android,large,native,foryou
am-android-foryou-large-native-medium-withds,US,gam,android,large,native,foryou
am-android-foryou-large-native-low-withds,US,gam,android,large,native,foryou
fb-ios-foryou-large-native-ds-nods,US,fb,ios,large,native,foryou
am-ios-foryou-large-native-high-nods,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-medium-nods,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-low-nods,US,gam,ios,large,native,foryou
fb-ios-foryou-large-native-withds,US,fb,ios,large,native,foryou
am-ios-foryou-large-native-ds-single,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-high-withds,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-medium-withds,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-low-withds,US,gam,ios,large,native,foryou
am-android-article-top-display-test,US,gam,android,top,display,article
am-ios-article-inside-native-test,US,gam,ios,inside,native,article
fb-ios-foryou-large-native-bidding-test,US,fb,ios,large,native,foryou
nb-ios-launch-fullscreen-appopen-nu3,US,nbads,ios,fullscreen,appopen,launch
fb-ios-article-related-native-test,US,fb,ios,related,native,article
fb-android-article-inside-native-ibdd-ctrl4-high,US,fb,android,inside,native,article
fb-android-article-inside-native-ibdd-ctrl4-medium,US,fb,android,inside,native,article
fb-android-article-inside-native-ibdd-ctrl4-low,US,fb,android,inside,native,article
am-android-article-inside-native-ibdd-ctrl4-high,US,gam,android,inside,native,article
