advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
AMC Networks,21839579524 » am-android-foryou-large-ib-low,0.93%,1.04,321,3.25
AMC Networks,21839579524 » am-android-foryou-large-ib-medium,2.30%,1.71,305,5.62
AMN Healthcare,21839579524 » am-android-foryou-large-ib-high,1.07%,24.77,"2,055",12.05
AMN Healthcare,21839579524 » am-android-foryou-large-ib-low,0.38%,9.67,"3,181",3.04
AMN Healthcare,21839579524 » am-android-foryou-large-ib-medium,0.37%,16.42,"3,256",5.04
AMain Performance Hobbies,21839579524 » am-android-foryou-large-ib-high,7.25%,0.84,69,12.17
AMain Performance Hobbies,21839579524 » am-android-foryou-large-ib-low,1.22%,0.74,246,3.02
AMain Performance Hobbies,21839579524 » am-android-foryou-large-ib-medium,1.23%,0.82,162,5.05
AN & Associates,21839579524 » am-android-foryou-large-ib-high,2.69%,8.68,484,17.93
AN & Associates,21839579524 » am-android-foryou-large-ib-low,0.71%,4.31,"1,270",3.40
AN & Associates,21839579524 » am-android-foryou-large-ib-medium,2.23%,5.61,852,6.59
ANWB,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,7,3.01
ANWB,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
ARD ZDF,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
ARRIS,21839579524 » am-android-foryou-large-ib-high,0.00%,0.07,6,12.01
ARRIS,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,22,3.24
ARRIS,21839579524 » am-android-foryou-large-ib-medium,3.70%,0.14,27,5.01
ASAP Tickets,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
ASAP Tickets,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
ASICS Corporation,21839579524 » am-android-foryou-large-ib-high,2.27%,1.07,88,12.11
ASICS Corporation,21839579524 » am-android-foryou-large-ib-low,1.46%,1.04,342,3.04
ASICS Corporation,21839579524 » am-android-foryou-large-ib-medium,0.33%,1.55,306,5.06
ASL Aviation Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
ASPCA,21839579524 » am-android-foryou-large-ib-high,0.00%,0.18,14,13.03
ASPCA,21839579524 » am-android-foryou-large-ib-low,0.00%,1.36,419,3.24
ASPCA,21839579524 » am-android-foryou-large-ib-medium,0.83%,0.69,120,5.71
AT&T,21839579524 » am-android-foryou-large-ib-high,0.74%,"1,008.87","79,938",12.62
AT&T,21839579524 » am-android-foryou-large-ib-low,0.26%,171.47,"54,437",3.15
AT&T,21839579524 » am-android-foryou-large-ib-medium,0.36%,351.19,"66,634",5.27
ATCOenergy,21839579524 » am-android-foryou-large-ib-high,0.00%,0.53,44,12.00
ATCOenergy,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
ATOLL,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
ATOLL,21839579524 » am-android-foryou-large-ib-low,1.02%,0.30,98,3.01
ATOLL,21839579524 » am-android-foryou-large-ib-medium,6.90%,0.15,29,5.01
AW3 Global,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,13.68
AW3 Global,21839579524 » am-android-foryou-large-ib-low,1.79%,0.23,56,4.05
AW3 Global,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.22,30,7.20
AXA Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.12,41,3.00
AXA Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.10,19,5.00
AXS TV,21839579524 » am-android-foryou-large-ib-high,0.00%,0.52,43,12.01
AXS TV,21839579524 » am-android-foryou-large-ib-low,0.80%,1.52,503,3.02
AXS TV,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.60,118,5.06
Aarons Home Appliance,21839579524 » am-android-foryou-large-ib-high,0.84%,624.34,"50,968",12.25
Aarons Home Appliance,21839579524 » am-android-foryou-large-ib-low,0.28%,107.92,"35,263",3.06
Aarons Home Appliance,21839579524 » am-android-foryou-large-ib-medium,0.35%,250.22,"49,314",5.07
AbbVie,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.34
Abbyy Development,21839579524 » am-android-foryou-large-ib-high,0.00%,0.31,26,12.01
Abbyy Development,21839579524 » am-android-foryou-large-ib-low,0.00%,0.15,49,3.06
Abbyy Development,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.19,38,5.08
Abercrombie & Fitch,21839579524 » am-android-foryou-large-ib-high,1.53%,12.63,"1,043",12.11
Abercrombie & Fitch,21839579524 » am-android-foryou-large-ib-low,0.50%,7.96,"2,620",3.04
Abercrombie & Fitch,21839579524 » am-android-foryou-large-ib-medium,1.26%,11.18,"2,215",5.05
Aberdeen Asset Management,21839579524 » am-android-foryou-large-ib-high,0.00%,1.02,59,17.21
Aberdeen Asset Management,21839579524 » am-android-foryou-large-ib-low,1.75%,0.20,57,3.55
Aberdeen Asset Management,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.39,53,7.32
Abrisud,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.00
Absa Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
Abt Electronics,21839579524 » am-android-foryou-large-ib-high,0.39%,3.10,256,12.11
Abt Electronics,21839579524 » am-android-foryou-large-ib-low,0.57%,1.61,529,3.05
Abt Electronics,21839579524 » am-android-foryou-large-ib-medium,0.38%,2.66,528,5.03
Academic Partnerships,21839579524 » am-android-foryou-large-ib-high,0.18%,13.51,"1,120",12.06
Academic Partnerships,21839579524 » am-android-foryou-large-ib-low,0.40%,4.58,"1,501",3.05
Academic Partnerships,21839579524 » am-android-foryou-large-ib-medium,0.22%,9.02,"1,790",5.04
Academy of Art University,21839579524 » am-android-foryou-large-ib-high,0.22%,5.35,445,12.01
Academy of Art University,21839579524 » am-android-foryou-large-ib-low,0.28%,3.22,"1,066",3.02
Academy of Art University,21839579524 » am-android-foryou-large-ib-medium,0.41%,4.88,971,5.03
Accenture,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.00
Accenture,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Accenture,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,4,5.00
Access Industries,21839579524 » am-android-foryou-large-ib-high,0.76%,38.16,"3,170",12.04
Access Industries,21839579524 » am-android-foryou-large-ib-low,0.59%,10.27,"3,394",3.03
Access Industries,21839579524 » am-android-foryou-large-ib-medium,0.35%,12.90,"2,559",5.04
Access USA Shipping,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
Accor Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.08,6,13.24
Accor Group,21839579524 » am-android-foryou-large-ib-low,2.00%,0.15,50,3.07
Accor Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.14,26,5.41
