delivered_impression,timestamp
12033,1649341623
12033,1649341632
12034,1649341640
12034,1649341649
12034,1649341658
12034,1649341666
12034,1649341675
12034,1649341683
12035,1649341692
12036,1649341701
12036,1649341709
12036,1649341718
12036,1649341727
12036,1649341735
12036,1649341744
12036,1649341752
12036,1649341761
12036,1649341770
12036,1649341778
12037,1649341787
12038,1649341795
12038,1649341804
12038,1649341813
12038,1649341821
12038,1649341830
12038,1649341839
12038,1649341847
12039,1649341856
12039,1649341864
12039,1649341873
12039,1649341882
12040,1649341890
12040,1649341899
12040,1649341907
12040,1649341916
12041,1649341925
12041,1649341933
12041,1649341942
12041,1649341950
12041,1649341959
12042,1649341968
12042,1649341976
12042,1649341985
12042,1649341994
12042,1649342002
12043,1649342011
12043,1649342019
12043,1649342028
12043,1649342037
12044,1649342045
12044,1649342054
12044,1649342062
12044,1649342071
12044,1649342080
12045,1649342088
12045,1649342097
12045,1649342106
12045,1649342114
12045,1649342123
12046,1649342131
12046,1649342140
12046,1649342149
12046,1649342157
12047,1649342166
12047,1649342174
12047,1649342183
12047,1649342192
12047,1649342200
12048,1649342209
12048,1649342217
12048,1649342226
12048,1649342235
12048,1649342243
12049,1649342252
12049,1649342261
12049,1649342269
12049,1649342278
12049,1649342286
12050,1649342295
12050,1649342304
12050,1649342312
12050,1649342321
12051,1649342329
12051,1649342338
12051,1649342347
12051,1649342355
12052,1649342364
12052,1649342372
12052,1649342381
12052,1649342390
12052,1649342398
12052,1649342407
12053,1649342416
12053,1649342424
12053,1649342433
12053,1649342441
12054,1649342450
12054,1649342457
12054,1649342465
12054,1649342472
12054,1649342479
12054,1649342487
12055,1649342494
12055,1649342501
12055,1649342509
12055,1649342516
12055,1649342523
12056,1649342531
12056,1649342538
12056,1649342545
12056,1649342553
12056,1649342560
12057,1649342567
12057,1649342575
12057,1649342582
12057,1649342589
12057,1649342597
12057,1649342604
12057,1649342611
12058,1649342619
12059,1649342626
12059,1649342633
12059,1649342641
12059,1649342648
12059,1649342655
12059,1649342663
12059,1649342670
12059,1649342677
12059,1649342685
12059,1649342692
12059,1649342699
12059,1649342707
12060,1649342714
12061,1649342721
12061,1649342729
12061,1649342736
12061,1649342743
12061,1649342751
12061,1649342758
12061,1649342765
12061,1649342773
12061,1649342780
12062,1649342787
12062,1649342795
12062,1649342802
12063,1649342809
12063,1649342817
12063,1649342824
12063,1649342831
12063,1649342839
12063,1649342846
12063,1649342853
12064,1649342861
12064,1649342868
12064,1649342875
12064,1649342883
12065,1649342890
12065,1649342897
12065,1649342905
12065,1649342912
12065,1649342919
12065,1649342927
12066,1649342934
12066,1649342941
12066,1649342949
12066,1649342956
12066,1649342963
12066,1649342971
12067,1649342978
12067,1649342985
12067,1649342993
12067,1649343000
12067,1649343007
12068,1649343015
12068,1649343022
12068,1649343029
12068,1649343037
12068,1649343044
12068,1649343051
12069,1649343059
12069,1649343066
12069,1649343073
12069,1649343081
12070,1649343088
12070,1649343095
12070,1649343103
12070,1649343110
12070,1649343117
12070,1649343125
12070,1649343132
12071,1649343139
12071,1649343147
12071,1649343154
12071,1649343161
12071,1649343169
12072,1649343176
12072,1649343183
12072,1649343191
12072,1649343198
12072,1649343205
12072,1649343213
12073,1649343220
12073,1649343227
12073,1649343235
12073,1649343242
12073,1649343249
